frame,y,dist_px,rank,source,confidence
11,0,78.16,11,map,high
11,0,140.563,12,map,high
11,0,88.041,13,map,high
11,0,93.044,14,map,high
11,0,80.027,15,map,high
11,0,108.322,16,map,high
11,0,79.961,17,map,high
11,0,53.056,18,map,high
11,0,48.776,19,map,high
11,0,25.962,20,map,high
11,0,123.173,21,map,high
11,0,86.995,22,map,high
11,0,60.632,23,map,high
11,0,80.97,24,map,high
11,0,57.24,25,map,high
11,0,47.823,26,map,high
11,0,91.557,27,map,high
11,0,110.97,28,map,high
11,0,68.672,29,map,high
11,0,136.894,30,map,high
11,0,137.273,31,map,high
11,0,30.78,32,appearance,high
11,0,137.57,33,map,high
11,0,28.119,34,map,high
11,0,99.658,35,map,high
11,0,38.544,36,appearance,high
11,0,72.78,37,appearance,high
11,0,75.734,38,map,high
11,0,86.876,39,map,high
11,0,69.945,40,map,high
11,0,51.393,41,map,high
11,0,127.517,42,map,high
11,0,61.565,43,map,high
11,0,131.415,44,map,high
11,0,58.682,45,map,high
11,0,33.149,46,map,high
11,0,105.753,47,map,high
11,0,79.718,48,map,high
11,0,78.427,49,map,high
11,0,98.433,51,map,high
11,1,7.967,52,map,high
11,0,93.517,53,map,high
11,0,116.84,54,map,high
11,0,82.717,55,map,high
11,1,2.173,56,map,high
12,0,60.742,1,map,high
12,0,108.273,2,map,high
12,0,63.457,3,map,high
12,0,124.447,4,map,high
12,0,83.582,5,map,high
12,0,38.636,6,map,high
12,0,55.81,7,map,high
12,0,96.825,8,map,high
12,0,50.923,9,map,high
12,0,32.433,10,appearance,high
12,0,74.769,11,map,high
12,0,87.92,12,map,high
12,0,78.869,13,map,high
12,0,84.588,14,map,high
12,0,53.058,15,map,high
12,0,127.356,16,map,high
12,0,103.158,17,map,high
12,0,125.425,18,map,high
12,0,110.111,20,map,high
12,0,64.668,21,map,high
12,0,29.382,23,appearance,high
12,0,96.391,24,map,high
12,0,70.543,25,map,high
12,0,89.525,26,map,high
12,0,109.089,27,map,high
12,0,42.037,28,map,high
12,0,96.8,30,map,high
12,0,57.483,31,map,high
12,0,46.367,32,map,high
12,0,78.268,33,map,high
12,0,140.934,34,map,high
12,0,87.991,35,map,high
12,0,92.611,36,map,high
12,0,79.927,37,map,high
12,0,108.332,38,map,high
12,0,80.413,39,map,high
12,0,53.508,40,map,high
12,0,49.237,41,map,high
12,0,25.983,42,map,high
12,0,123.499,43,map,high
12,0,87.217,44,map,high
12,0,60.765,45,map,high
12,0,81.201,46,map,high
12,0,56.78,47,map,high
12,0,48.282,48,map,high
12,0,91.623,49,map,high
12,0,111.2,50,map,high
12,0,69.125,51,map,high
12,0,137.246,52,map,high
12,0,137.397,53,map,high
12,0,137.667,54,map,high
12,0,57.633,55,map,high
12,0,27.712,56,map,high
12,0,74.334,57,map,high
12,0,99.613,58,map,high
12,0,119.313,59,map,high
12,0,50.982,62,map,high
12,0,87.019,63,map,high
12,0,127.876,64,map,high
12,0,70.387,65,map,high
12,0,121.939,66,map,high
12,0,51.995,67,map,high
12,0,61.712,68,map,high
12,0,131.803,69,map,high
12,0,33.852,70,map,high
12,0,67.239,71,map,high
12,0,90.288,72,map,high
12,0,105.886,73,map,high
12,0,79.769,74,map,high
12,0,98.45,75,map,high
12,0,37.894,76,map,high
12,0,41.985,77,map,high
12,0,35.394,78,map,high
12,0,87.352,79,map,high
12,0,93.703,80,map,high
13,0,60.044,1,map,high
13,0,27.664,2,appearance,high
13,0,57.41,3,map,high
13,0,107.296,4,map,high
13,0,45.968,6,map,high
13,0,98.773,7,map,high
13,0,140.74,8,map,high
13,0,81.519,9,map,high
13,0,110.635,10,map,high
13,0,56.716,11,map,high
13,0,63.726,12,map,high
13,0,90.911,13,map,high
13,0,29.657,14,map,high
13,0,62.422,15,map,high
13,0,135.524,16,map,high
13,0,114.202,17,map,high
13,0,33.177,18,appearance,high
13,0,108.296,19,map,high
13,0,109.416,20,map,high
13,0,102.943,21,map,high
13,0,34.119,22,map,high
13,0,111.422,23,map,high
13,0,86.416,24,map,high
